,time,subject,exercise,set_nr,focus,hr,acc_lin_x_lowpass,acc_lin_y_lowpass,acc_lin_z_lowpass,acc_x_lowpass,acc_y_lowpass,acc_z_lowpass,gyro_x_lowpass,gyro_y_lowpass,gyro_z_lowpass,yaw_lowpass,pitch_lowpass,roll_lowpass,set_id
4436,28.72,0,0,3,1,94.64,0.1483523137203292,-0.4043977211290677,-0.0572911340972807,-8.757478958354415,0.9716166736296707,3.83443139284947,-0.0066243159521954,-0.1810165023478626,-0.2070650071492919,19.47986604652691,65.13137597397,-44.76218004434357,2
4437,28.74,0,0,3,1,94.63,0.2327416343562702,-0.2709025643278517,0.0159582046440771,-8.664432057299496,1.0640790649156568,3.938083487731839,-0.009240461691787,-0.1773966343554892,-0.2114150756294383,18.799314206088184,65.02585923135724,-45.51913402167455,2
4438,28.76,0,0,3,1,94.62,0.2327325440033894,-0.1770128395514477,0.072741167840383,-8.658170467341789,1.1144152392667903,4.020833084496562,-0.0112908256633335,-0.156723954661032,-0.226780705046494,18.109656466843354,64.95097251623451,-46.27091543830714,2
4439,28.78,0,0,3,1,94.61,0.1610547941321042,-0.1416444980597913,0.1141795815952958,-8.726925070821633,1.104322670226618,4.082178526102555,-0.0114559862825268,-0.1243242143609053,-0.2425768819525173,17.425080787130437,64.917042396415,-47.015023701818464,2
4440,28.8,0,0,3,1,94.6,0.0484404707514833,-0.1635154901627173,0.1409267826973991,-8.839979989133088,1.0369582797808072,4.122484768131929,-0.0098408370099981,-0.0875417316380212,-0.2496689248663653,16.769516713370194,64.92296755758612,-47.73580422269662,2
4441,28.82,0,0,3,1,94.59,-0.0703797442394673,-0.2207435013228455,0.1536779073373134,-8.961832835829908,0.9365681855725116,4.143365179273437,-0.0077975846073207,-0.0536007232012728,-0.2428336068747304,16.168083267025796,64.9584096474794,-48.40993686330857,2
4442,28.84,0,0,3,1,94.58,-0.1686198968503286,-0.2780299661740032,0.1549378649249061,-9.064417559596142,0.8405619147820399,4.1491581918566585,-0.0075500787551991,-0.0281954686714717,-0.2214436347379318,15.639578555021616,65.00706220156174,-49.01255329029791,2
4443,28.86,0,0,3,1,94.57,-0.2322331833896982,-0.2998143961973982,0.1498925197846438,-9.132181548081514,0.785871279628884,4.147476832891676,-0.0116448310022635,-0.0150179685877553,-0.188493155331271,15.192043423847595,65.04980768211051,-49.52246401828811,2
4444,28.88,0,0,3,1,94.56,-0.2577745997583295,-0.2652013922222505,0.1448618608659933,-9.160182112420154,0.7938800427829685,4.147332784405017,-0.0221868549165648,-0.0158225522158778,-0.1487396143249732,14.822245095198594,65.06749745890193,-49.92592241860171,2
4445,28.9,0,0,3,1,94.55,-0.2477972851678425,-0.1792206205444839,0.1434993674948139,-9.149686254573728,0.8593383459017487,4.154940074645572,-0.0399005058605999,-0.0304688137444031,-0.1068329217745936,14.518978983441263,65.0437640788841,-50.21877696002228,2
4446,28.92,0,0,3,1,94.54,-0.2087267724633296,-0.0756864295673557,0.1426367798552252,-9.106258239781528,0.9479167132862192,4.169046602240925,-0.0632292359832874,-0.0566808087209239,-0.0659475610538365,14.269578668571034,64.9682153798702,-50.40657174556028,2
4447,28.94,0,0,3,1,94.53,-0.1528897520662197,-0.0094401093451196,0.1305253999961254,-9.042013988285383,1.0045338288593673,4.1785839419997215,-0.0878308619224601,-0.0897105203940312,-0.0269750416929011,14.068749189568152,64.83965405324028,-50.50159758553817,2
4448,28.96,0,0,3,1,94.52,-0.1019528398628823,-0.0393184653953821,0.0896595555547073,-8.979232415936927,0.9710343955151238,4.16497248443126,-0.1068418044259596,-0.1223674321831937,0.0119206277268317,13.928446447743896,64.66813512492845,-50.51581439420306,2
4449,28.98,0,0,3,1,94.51,-0.086793743615382,-0.2067239264211258,0.0044225764065143,-8.950233895140434,0.8082380008513195,4.109534800019527,-0.1121389842409196,-0.1458126259627845,0.0555332795674392,13.88684535451051,64.47433379453672,-50.44952885914795,2
4450,29.0,0,0,3,1,94.5,-0.1404208675043018,-0.5170180358632147,-0.1288613126140939,-8.990045463540438,0.5149821407073666,4.003775589059601,-0.0965326314485977,-0.1511647083321113,0.1115326137252805,14.01367677948543,64.28522433207995,-50.2777279375005,2
4451,29.02,0,0,3,1,94.49,-0.284909236756395,-0.9310544472253592,-0.2940765036091344,-9.122811066212348,0.1366467530376887,3.857957799636896,-0.0564318288234524,-0.1315163550689253,0.1897423673129713,14.408926705292012,64.12640606199521,-49.93831186044825,2
4452,29.04,0,0,3,1,94.48,-0.5178236207353759,-1.371383018286732,-0.454658111754499,-9.347533291032384,-0.2415435336568096,3.702831076033261,0.0058402647120432,-0.0836446755536778,0.3004551603703391,15.192719245574182,64.01303433616754,-49.32785051385903,2
4453,29.06,0,0,3,1,94.47,-0.8057302945413375,-1.7423926047791176,-0.562839283817841,-9.630964369736832,-0.5157504680620646,3.5814951886050914,0.0810489233522889,-0.0087130306437422,0.4518021927144058,16.48640316663337,63.94240297635146,-48.30965503610214,2
4454,29.08,0,0,3,1,94.46,-1.090557028478845,-1.9578460147897627,-0.577032052924262,-9.913633863823748,-0.5925686313533278,3.532841884887948,0.1540830015403017,0.0883122117440177,0.6467700122261886,18.387902893121367,63.89103370566173,-46.73555295562596,2
