repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
551,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
552,1.0,1.0,1.0,1.0,1.0,20,4
553,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
554,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
555,1.0,1.0,1.0,1.0,1.0,20,4
556,1.0,1.0,1.0,1.0,1.0,20,4
557,0.5,0.5,0.0,0.0,0.0,20,4
558,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
559,1.0,1.0,1.0,1.0,1.0,20,4
560,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
561,1.0,1.0,1.0,1.0,1.0,20,4
562,0.5,0.5,0.0,0.0,0.0,20,4
563,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
564,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
565,0.5,0.5,0.5,0.5,0.5,20,4
566,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
567,1.0,1.0,1.0,1.0,1.0,20,4
568,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
569,1.0,1.0,1.0,1.0,1.0,20,4
570,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
571,1.0,1.0,1.0,1.0,1.0,20,4
572,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
573,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
574,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
575,1.0,1.0,1.0,1.0,1.0,20,4
576,1.0,1.0,1.0,1.0,1.0,20,4
577,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
578,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
579,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
580,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
581,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
582,1.0,1.0,1.0,1.0,1.0,20,4
583,1.0,1.0,1.0,1.0,1.0,20,4
584,0.5,0.5,0.0,0.0,0.0,20,4
585,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
